tahun,provinsi,listrik_gwh
2020,SUMATERA SELATAN,5312.77
2021,SUMATERA SELATAN,5593.93
2022,SUMATERA SELATAN,5878.31
2023,SUMATERA SELATAN,6278.5
2024,SUMATERA SELATAN,6513.57
2011,SUMATERA UTARA,7194.03
2012,SUMATERA UTARA,7809.32
2013,SUMATERA UTARA,7917.24
2014,SUMATERA UTARA,8271.01
2015,SUMATERA UTARA,8703.67
2017,SUMATERA UTARA,9671.48
2018,SUMATERA UTARA,10445.02
2019,SUMATERA UTARA,8324.86
2020,SUMATERA UTARA,11192.85
2021,SUMATERA UTARA,11748.4
2022,SUMATERA UTARA,12059.81
2023,SUMATERA UTARA,12472.84
2024,SUMATERA UTARA,13234.26
